Ec(C1(n379_des_2)) X,Ec(C1(n379_des_2)) Y,Ev(C1(n379_des_2)) X,Ev(C1(n379_des_2)) Y,Efn(C1(n379_des_2)) X,Efn(C1(n379_des_2)) Y,Efp(C1(n379_des_2)) X,Efp(C1(n379_des_2)) Y
-0.22,-0.073814996,-0.22,-1.0283908,-0.22,-6.5034199e-7,-0.22,-3.1521416e-8
-0.1625824,-0.073806876,-0.1625824,-1.0283856,-0.1625824,-1.2495315e-6,-0.1625824,-6.1170687e-8
-0.132,-0.073676186,-0.132,-1.0283404,-0.132,-2.9069856e-6,-0.132,-1.3675307e-7
-0.1238828,-0.073641775,-0.1238828,-1.0283288,-0.1238828,-3.8138258e-6,-0.1238828,-1.7244791e-7
-0.097799122,-0.072011083,-0.097799122,-1.0278116,-0.097799122,-7.3180897e-6,-0.097799122,-2.7638857e-7
-0.088000536,-0.069510052,-0.088000536,-1.0270234,-0.088000536,-8.7251265e-6,-0.088000536,-2.8224842e-7
-0.08021865,-0.067140141,-0.08021865,-1.0262769,-0.08021865,-9.9093996e-6,-0.08021865,-2.7347441e-7
-0.068369359,-0.062909643,-0.068369359,-1.0248867,-0.068369359,-1.1856811e-5,-0.068369359,-2.3799568e-7
-0.060382899,-0.059288826,-0.060382899,-1.0236607,-0.060382899,-1.3297962e-5,-0.060382899,-1.9970076e-7
-0.055,-0.056123504,-0.055,-1.0225651,-0.055,-1.4324297e-5,-0.055,-1.6808185e-7
-0.049589701,-0.05183167,-0.049589701,-1.0210777,-0.049589701,-1.5394735e-5,-0.049589701,-1.3243516e-7
-0.043516841,-0.044149891,-0.043516841,-1.0184781,-0.043516841,-1.6629862e-5,-0.043516841,-8.9553893e-8
-0.03670029,-0.025489021,-0.03670029,-1.0121628,-0.03670029,-1.810763e-5,-0.03670029,-4.2854957e-8
-0.02904897,0.024533553,-0.02904897,-0.98850929,-0.02904897,-2.0650164e-5,-0.02904897,-3.2565765e-9
-0.02046066,0.43956648,-0.02046066,-0.60438055,-0.02046066,-4.2597788e-5,-0.02046066,-3.334121e-10
-0.0108206,0.68094316,-0.0108206,-0.36675113,-0.0108206,-0.0049349024,-0.0108206,-2.0769236e-10
0,0.50605644,0,-0.54082224,0,-0.17149623,0,-1.0206784e-7
0.0108206,-0.19447306,0.0108206,-1.2421673,0.0108206,-0.69081448,0.0108206,-0.35432323
0.02046066,-1.3478772,0.02046066,-2.3918242,0.02046066,-1.7295345,0.02046066,-1.4321167
0.02904897,-2.7923414,0.02904897,-3.8053842,0.02904897,-2.9996623,0.02904897,-2.7351515
0.03670029,-3.024717,0.03670029,-4.0113908,0.03670029,-2.9999806,0.03670029,-2.8690909
0.043516841,-3.0441141,0.043516841,-4.0184423,0.043516841,-2.9999826,0.043516841,-2.908436
0.049589701,-3.0518004,0.049589701,-4.0210464,0.049589701,-2.9999841,0.049589701,-2.9207666
0.055,-3.0560945,0.055,-4.0225361,0.055,-2.9999854,0.055,-2.9290442
0.060382899,-3.059262,0.060382899,-4.0236339,0.060382899,-2.9999865,0.060382899,-2.9358083
0.068369359,-3.0628858,0.068369359,-4.0248628,0.068369359,-2.999988,0.068369359,-2.9441087
0.08021865,-3.0671203,0.08021865,-4.026257,0.08021865,-2.99999,0.08021865,-2.9540472
0.088000536,-3.0694925,0.088000536,-4.0270059,0.088000536,-2.9999912,0.088000536,-2.9597504
0.097799122,-3.0719964,0.097799122,-4.0277969,0.097799122,-2.9999926,0.097799122,-2.9660913
0.1238828,-3.0736341,0.1238828,-4.0283212,0.1238828,-2.9999962,0.1238828,-2.9804841
0.132,-3.0736704,0.132,-4.0283346,0.132,-2.9999971,0.132,-2.9837353
0.1625824,-3.0738044,0.1625824,-4.0283831,0.1625824,-2.9999988,0.1625824,-2.9883733
0.22,-3.0738137,0.22,-4.0283895,0.22,-2.9999994,0.22,-2.9893624

